DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº50;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 120 N° 847, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA N°79;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 16 N° 541, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº92;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 3 e/ 527 y 528, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº11;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV.25 e/ 526 y 527, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ANEXO II DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº11;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 15 e/ 521 y 522, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO NUESTRA SEÑORA DEL CARMEN;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 115 e/ 530 y 531, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA SANTA LUCIA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 5 e/ 522 y 523, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA SAN VICENTE DE PAUL;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 116 N° 567, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuela De Educación Secundaria Técnica;"ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº8 ""JUAN BAUTISTA ALBERDI""";Son instituciones de enseñanza que brindan educación técnico profesional. Agregan a la secundaria básica un año más de escolaridad a través de las prácticas profesionalizantes;CALLE 526 N° 1264, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas de Arte;"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""";Se encarga de formar músicos y docentes y organiza actividades culturales de la temática. Cuenta con préstamos de instrumentos y becas estudiantiles.;CAMINO GRAL. BELGRANO e/ 523 y 524, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centros Socioeducativos Comunitarios;EL MERCADITO;Orientados a la revinculación de los alumnos y al fortalecimiento de las trayectorias educativas de jóvenes de barrios populares en situación de vulnerabilidad, brindando apoyo escolar, social y participación comunitaria. Se realizan eventos culturales, talleres, actividades como cine, etc. Muchos de estos también realizan actividades en búsqueda de lograr incorporación al mundo del trabajo digno.;CALLE 120 y 54, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro De Educación Física;CENTRO DE EDUCACIÓN FÍSICA N° 2;Ubicado dentro del Estadio Único de La Plata, en el lugar se ofrecen distintas actividades deportivas como atletismo, fútbol, voley, gimnasia artística, básquet, handball, gimnasia para adultos, etc.;AV. 32 y 23, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
SEGURIDAD;Comisarías;COMISARÍA LA PLATA 6°;Son organismos cuya responsabilidad fundamental es la de investigar delitos, preservar el orden público y proteger los derechos de los ciudadanos. Realizan acciones de prevención y llevan a cabo investigaciones dentro de su área.;CALLE 1 N° 341, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
SEGURIDAD;Comisarías;COMISARÍA LA PLATA 11°;Son organismos cuya responsabilidad fundamental es la de investigar delitos, preservar el orden público y proteger los derechos de los ciudadanos. Realizan acciones de prevención y llevan a cabo investigaciones dentro de su área.;CALLE 530 y 14, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;CCEU N° 6 EL MERCADITO;Los Centros Comunitarios de Extensión Universitaria (CCEU) son espacios de cogestión entre la Universidad y la comunidad donde se implementan acciones que abordan los problemas y necesidades de un territorio determinado. Dependen de la Dirección de Gestión Territorial de la Prosecretaría de Políticas Sociales de la Universidad Nacional de La Plata.;CALLE 119 y 519, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;SISTEMA UNIVERSITARIO REGIONAL DE SALUD (SURES);El Sistema Universitario Regional de Salud (SURES) es una iniciativa de la Secretaría de Extensión, la Secretaría de Salud y la Prosecretaria de Salud de la Presidencia de la UNLP. Se implementa para fortalecer procesos de organización política territorial previos y vinculados a la salud (núcleos operativos de emergencia, jornadas de vacunación y testeo surgidos en la pandemia, aulas de la diplomatura de promotoras de salud, espacios comunitarios sede de proyectos de extensión de la UNLP, etc).;CALLE 5 e/ 519 y 520 Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CENTRO DE FOMENTO SOCIAL Y DEPORTIVO “LA ESPERANZA” COMEDOR LOS NIÑOS PRIMERO;Organzación comunitaria que trabaja para formentar el deporte en la comunidad.;CALLE 522 e/ 117 and 118, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;PARROQUIA BEATA LUDOVICA;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 524 e/ 120 y 121, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;PARROQUIA NUESTRA SEÑORA DEL CARMEN;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 115 N° 157 e/ 529 y 530, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;PARROQUIA SANTA LUCÍA;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 5 N° 930, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;PARROQUIA NUESTRA SEÑORA DE LA MEDALLA MILAGROSA;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 118 N° 880, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;IGLESIA BAUTISTA LUZ;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 117 N° 22, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Santa Ana;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 31 N° 2379, Tolosa, La Plata, Buenos Aires ;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;"IGLESIA CRISTIANA EVANGÉLICA ""FUEGO DE DIOS""";realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 525 Nº 2540, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia Apostolica Pentecostal;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 525 y 17, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia Universal del Reino de Dios;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 526 N° 3304, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;IGLESIA PENTECOSTAL VISIÓN A DIOS SEA LA GLORIA;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 524 BIS N° 160, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Social, Cultural, Deportivo y de Fomento Sud América;institución donde se realizan actividades culturales y deportivas diversas;CALLE 528 Nº 845, La Plata, Tolosa, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Círculo Cultural Tolosano;El Círculo Cultural Tolosano es un club de fútbol amateur de Argentina, ubicado en el barrio platense de Tolosa;CALLE 115 BIS Nº 377, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Uyffi;club de fútbol infantil;CALLE 11 Nº 900, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO ARAOZ ALFARO I (NUEVO DIQUE);El Nuevo Dique es una dependencia de la Dirección de Institutos, que a su vez depende de una Dirección Provincial de Coordinación de Sistemas de Responsabilidad Penal Juvenil, la cual depende de la Subsecretaria de la Niñez y Adolescencia, subsecretaria que depende del Ministerio de Desarrollo Social de la Provincia de Buenos Aires.;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO CARLOS IBARRA;Una institucion que tiene como fin capacitar, educar, conducir e insertar a jovenes en la sociedad.-;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO C.O.P.A;El Centro Cerrado C.O.P.A. Abasto es un centro de detención para menores, donde jóvenes que han tenido problemas con la justicia cumplen sus condenas o están bajo proceso;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO EL CASTILLITO;Es un dispositivo de régimen cerrado dentro del Complejo Nueva Villa Esperanza, ubicado en Abasto, La Plata, Buenos Aires. Está destinado a jóvenes de entre 16 y 18 años que están en conflicto con la ley, cumpliendo medidas privativas de la libertad ambulatoria según el gobierno de la provincia de Buenos Aires. Este centro forma parte del Sistema de Responsabilidad Penal Juvenil y está bajo la órbita de la Dirección Operativa de Centros Socioeducativos de Privación de Libertad Ambulatoria (DOCSPLA) según el gobierno de la provincia de Buenos Aires;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO EVA PERÓN II;Es una institución destinada a jóvenes de entre 16 y 18 años que están en conflicto con la ley. Funciona como un centro de alojamiento y está bajo la supervisión de la subsecretaría de Responsabilidad Penal Juvenil. Este tipo de centros busca abordar las particularidades de la adolescencia y su relación con las instituciones sociales.;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO FRANCISCO LEGARRA;Centro Socioeducativo de privación de la libertad ambulatoria;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO DE RECEPCIÓN EVA PERÓN I;Libertad ambulatoria;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO DE CONTENCIÓN AGUSTIN B. GAMBIER;Centro de contención para niños inimputables (menores de 16 años);AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO DE PRE EGRESO ARAOZ ALFARO;Centro Socioeducativo de privación de la libertad ambulatoria;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO DE PRE EGRESO PELLEGRINI;Para internos en régimen de semilibertad;AV. 520 y 226, Tolosa, La Plata, Buenos Aires;Tolosa;;ZONA NORTE
PROTECCION ESPECIAL;Hogar Convivencial;M. LUISA SERVENTE;Con más de 143 años de historia, hoy como Hogar Convivencial brinda amparo a las infancias en situación de vulnerabilidad: niños y niñas que han sido abandonados por sus padres o referentes y/o que han sido victimas de violencia, abuso, maltrato;CAMINO CENTENARIO e/ 47 y 48, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROTECCION ESPECIAL;Hogar Convivencial;REMEDIOS DE ESCALADA DE SAN MARTÍN;Hogar Convivencial que aloja a niños, niñas y adolescentes de 0 a 18 años;CALLE 6 (EX 12) y 48, Villa Elisa, La Plata;Villa Elisa;;ZONA NORTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA– VILLA ELISA;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CAMINO CENTENARIO e/ 43 y 44, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
SALUD ADOLESCENTE;Espacios terapeúticos;EL BOHIO;El Bohío, es una Asociación sin fines de lucro que nace a principios de los años 2000. Desde ese momento, se ha dedicado a atender pacientes con terapias individualizadas y de avanzada, donde la misión es prevenir y contribuir a la rehabilitación de las personas que padecen alguna patología de carácter emocional o social. Entre estas patologías encontramos trastornos de la personalidad, conductas compulsivas, depresión, angustia, alcoholismo, drogadicción, anorexia, bulimia, stress, fobias, tabaquismo o cualquier tipo de adicción o diversas dependencias (juegos, compras, internet, etc.).;CAMINO CENTENARIO N° 731, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 4;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CAMINO CENTENARIO y CALLE 43, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 36;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;"CALLE 412 y 29; Villa Elisa, La Plata, Buenos Aires";Villa Elisa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 39;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 412 e/ 116 y 117, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 5 e/ 421 y 422, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº67;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 417 y 131, Villa Elisa, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº88;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 421 ESQ. 3, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;EXTENSIÓN Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº28;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV. 7 e/422 y 423, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;SAN FRANCISCO DE ASIS;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 7 y 52, Villa Elisa, La Plata, Buenos Aires ;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;VIENTOS DEL SUR;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 27 e/422 y 426, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;DIVINA PROVIDENCIA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 420 e/ 26 y 27, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuela De Educación Secundaria Técnica;"ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 ""REPÚBLICA DE ITALIA""";Son instituciones de enseñanza que brindan educación técnico profesional. Agregan a la secundaria básica un año más de escolaridad a través de las prácticas profesionalizantes;CALLE 6 y 51, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Especializado Para Adultos Con Orientación En Salud (Cebas);"C.E.B.AS. Nº48 ""DR. RENÉ FAVALORO""";Centro Especializado de Bachilleratos para Adultos con orientación en Salud Pública. Tiene una duración de 3 años;CALLE 6 e/ 50 y 51, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;CASA DEL NIÑO ARCO IRIS;Acompañamos a las familias de la comunidad recibiendo a los niños niñas y adolescentes de los barrios El progreso y La fortaleza de Villa Elisa;CALLE 523 BIS N° 115O, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Nuestra Señora de los Milagros;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 419 y 43, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;San Luis Gonzaga;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 8 N° 1902, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;SAFI Futbol Infantil;institución donde se realizan actividades culturales y deportivas diversas;CALLE 20 Nº 1702, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Macá Cultura;Macá Cultura es un centro cultural ubicado en Villa Elisa, Buenos Aires, que funciona como un espacio de encuentro para el arte, la música y la cultura. Se describe a sí mismo como una propuesta gestada por un grupo de personas que busca compartir, aprender cosas nuevas e intercambiar ideas;DIAG. 4 y 425, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club deportivo Villa Elisa;El Club Deportivo Villa Elisa se encuentra en Camino Parque Centenario y 48, Villa Elisa, Buenos Aires. Es un club deportivo que ofrece diversas actividades y disciplinas, como padel, taekwondo, yoga, voley, tenis de mesa, patín, kung fu, handball, funcional, gimnasia artística, básquet, baile e indumentaria deportiva. Además, cuenta con un polideportivo y organiza eventos como carnavales.;CAMINO CENTENARIO y 48, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Dive Metro;DIVE Metro, también conocido como DIVE Villa Elisa, es un club de fútbol infantil y juvenil ubicado en Villa Elisa, Buenos Aires, Argentina. Su dirección específica es Calle 47 e/ 9 y 10. El club participa en la Liga Metropolitana y la L.I.S.F.I., y también cuenta con una escuela de fútbol.;CALLE 4 Nº 2099, Villa Elisa, La Plata, Buenos Aires;Villa Elisa;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 24;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;RUTA 2 KM. 44500, El Peligro, La Plata, Buenos Aires;El Peligro;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN MUTUAL TALLERES;Desarrollan talleres de Fútbol con valores, danzas, Catequesis y Apoyo Escolar. Poseen además un jardín comunitario.  También llevan adelante jornadas de Salud Visual y de controles pediátricos y vacunación. Funciona un CAAC en el predio la asociación  para trabajar los aspectos relacionados con la temática del consumo problemático de sustancias. Lleva adelante rticulación y dialogo con organizaciones y actores sociales en relación a actividades tendientes a promoción y protección de derechos de NNYA: ;CALLE 409 N° 4000, Arturo Seguí, La Plata, Buenos Aires;El Peligro;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº72;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA 2 KM. 44500, El Peligro, La Plata, Buenos Aires;El Peligro;;ZONA OESTE
SALUD ADOLESCENTE;Espacios terapeúticos;COMUNIDAD TERAPÉUTICA OTROS CAMINOS SON POSIBLES PARA LA REHABILITACIÓN DE LAS ADICCIONES;Es una Asocición Civil sin fines de lucro, cuyo objetivo es la prevención y la rehabilitación de adicciones. Cuenta  con un Centro de Internación con una capacidad de 24 personas. Posee un equipo interdisiplinario cpmpuesto por medicos, psicólogos, psiquiatra, operadores socioterapeutas y asistente social. Nuestro objetivo es que cualquier persona que necesite realizar un tratamiento de rehabilitación, tenga la posibilidad de realizarlo sin ningún tipo de limitación (social, económica, étnica, religiosa, etc.).;CALLE 143 y 414 BIS, Arturo Seguí, La Plata, Buenos Aires;El Peligro;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA NACIONAL 6 y RUTA 53, Arturo Seguí, La Plata, Buenos Aires;El Peligro;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 10;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 208 y 516, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
